,0,1,2,3,4,5
211,"sungkyunkwanuniversity,kr-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-universityofpennsylvania,us","sungkyunkwanuniversity,kr-universityofpennsylvania,us	universityofpennsylvania,us-sungkyunkwanuniversity,kr","universityofpennsylvania,us-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-incheonnationaluniversity,kr",,,
212,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-universityofcalifornia,us","pohanguniversityofscienceandtechnology,kr-universityofcalifornia,us	universityofcalifornia,us-ulsannationalinstituteofscienceandtechnology,kr","universityofcalifornia,us-ulsannationalinstituteofscienceandtechnology,kr	ulsannationalinstituteofscienceandtechnology,kr-incheonnationaluniversity,kr",,,
213,"universityofflorida,us-nationalhighmagneticfieldlaboratory,us	nationalhighmagneticfieldlaboratory,us-sungkyunkwanuniversity,kr","nationalhighmagneticfieldlaboratory,us-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-incheonnationaluniversity,kr",,,,
214,"pohanguniversityofscienceandtechnology,kr-instituteforbasicscience,kr	instituteforbasicscience,kr-incheonnationaluniversity,kr",,,,,
215,"gwangjuinstituteofscienceandtechnology,kr-imperialcollegelondon,uk	imperialcollegelondon,uk-maxplanckinstituteforcoalresearch,de","imperialcollegelondon,uk-maxplanckinstituteforcoalresearch,de	maxplanckinstituteforcoalresearch,de-incheonnationaluniversity,kr",,,,
216,"tokyoinstituteoftechnology,jp-tokyoinstituteoftechnology,jp	tokyoinstituteoftechnology,jp-chosununiversity,kr",,,,,
217,"universityofgeorgia,us-universityofmichigan,us	universityofmichigan,us-koreauniversity,kr","universityofmichigan,us-koreauniversity,kr	koreauniversity,kr-chosununiversity,kr",,,,
218,"gwangjuinstituteofscienceandtechnology,kr-advancedphotonicsresearchinstitute,kr	advancedphotonicsresearchinstitute,kr-chosununiversity,kr",,,,,
219,"universityofchicago,us-mcgilluniversity,ca	mcgilluniversity,ca-changwonnationaluniversity,kr",,,,,
220,"universityofgeorgia,us-universityofgeorgia,us	universityofgeorgia,us-changwonnationaluniversity,kr",,,,,
